Código;Descripción;Precio;Stock
6910HP800G37GB;Ordenador HP 800 G3 SFF GRADO B (Intel Core i5 6500 3.2Ghz/8GB/512SSD/NO-DVD/W10P) Preinstalado;159;146 
6910HPED800G15GB;Ordenador HP EliteDesk 800 G1 SFF GRADO B  (Intel Core i5 4570 3.20GHz/8GB/256SSD/DVDRW/W8P) Preinstalado;149;10 
6910HPED800G17GB;Ordenador HP EliteDesk 800 G1 SFF GRADO B  (Intel Core i5 4570 3.20GHz/8GB/256SSD/DVDRW/W7P) Preinstalado;155;2 
6910LENM7007GA;Ordenador Lenovo SFF M700 GRADO A (Intel Core i5 6500 3.2Ghz/16GB/256GB/DVDRW/W7P) Preinstalado;179;17 
6910LENM710S6GB;Ordenador Lenovo SFF M710s GRADO B (Intel Core i5 7500 3.4Ghz/8GB/240SSD/NO-DVD/W10P) Preinstalado;169;8 
6910LENM710S7GB;Ordenador Lenovo SFF M710s GRADO B (Intel Core i5 7500 3.4Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;169;18 
6910LENM72E3GB;Ordenador Lenovo M72e SFF GRADO B (Intel Core i5 3470 3.20GHz/8GB/120SSD/DVDRW/W7P) Preinstalado;119;2 
6910LENM7327GB;Ordenador Lenovo M73 SFF GRADO B (Intel Core i5 4570 3.2GHz/8GB/240SSD/DVDRW/W7P) Preinstalado;139;3 
6910LENM732GA;Ordenador Lenovo M73 SFF GRADO A (Intel Core i5 4590 3.3GHz/8GB/240SSD/DVDRW/W7P) Preinstalado;155;5 
6910LENM734GA;Ordenador Lenovo M73 SFF GRADO A  (Intel Core i5 4590 3.3GHz/8GB/240SSD/NO-DVD/W7P) Preinstalado;155;1 
6910LENM815GB;Ordenador Lenovo ThinkCentre M81 SFF GRADO B (Intel Core i5 2400 3.1GHz/4GB/250GB/DVD/W7P) Preinstalado;169;4 
6910LENM826GB;Ordenador Lenovo M82 SFF GRADO B (Intel Core i5 3470 3.20GHz/4GB/250GB/DVDRW/W7P) Preinstalado;95;4 
