Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;MPN;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
; ;Portatil Fujitsu Lif;Portátiles,Portátiles I3 ;99; ; ; ; ; ; ; ;6920FSLA5534GB; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; (Celeron 1000m 1.8.Ghz/4GB/320GB/15.6"/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia Windows 7 Pro<br /><br />GRADO B <br /><br />Especificaciones:<br /><br />· Marca                                    Fujitsu<br />· Procesador                            Intel Celeron 1000m @ 1.8 Ghz<br />· Grafica:                                 Gráficos Intel HD Graphics tercera generacion<br />· Disco Duro                            320GB HDD (Varias marcas, segun disponibilidad)<br />· Memorias                              4GB DDR3 (2 ZOCALOS)<br />· Panel                                    Pantalla de 15.6"<br />· Lector                                   SI<br />· Wifi                                       SI<br />. Webcam                               No<br />· Conexiones adicionales       x4 USB 2.0, x1 VGA, x2 Jack de Audio  Microfono/Auriculares, x1 RJ45<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO<br />- Incluyen batería, cables y cargador<br />- Testeados y 100% verificados<br />- Baterias testeadas duracion garantizada 30 min.<br />- Teclado internacional; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920fsla5534gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:320GB:2:0, Procesador:Intel Celeron:3:0, Sistema operativo:Windows 7:4:0, Pulgadas:15.6":5:0, Marca:Fujitsu:6:0, Webcam:SÃ­:7:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Lenovo x240;Portátiles,Portátiles I5 ;189; ; ; ; ; ; ; ;6920LENX2404GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 4300u 1.9Ghz/8GB/500GB/12.5"/NO-DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia de Windows 7 Professional<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     Lenovo<br />· Procesador          Intel Core i5 4300U  (2 nucleos @ 1.9Ghz, 4 hilos, turbo @ 2.9Ghz)<br />· Disco Duro           500GB SATA HDD (Varias marcas, segun disponibilidad)<br />· Memorias             8GB DDR3L ( 2 zocalos)<br />· Panel                   Pantalla de 12.5"<br />· Grafica                 integrada    HD Intel 4400<br />· Lector/Grabador    NO<br />· Webcam               SI<br />· Bluetooth              SI<br />· Conexiones adicionales    X2 USB 3.0, x1 Mini DisplayPort, x1 VGA, x1 Jack de Audio 4 Polos Microfono/Auriculares, x1 RJ45, x1 Lector de Tarjetas SD<br /><br /><br />- Incluye Sistema Operativo Preinstalado Windows 10 Pro<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Las baterías incluidas han sido comprobadas de tener una duracion de al menos 1 hora<br />- Teclado en internacional; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920lenx2404gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Disco Duro:500GB:2:0, Procesador:Intel i5:3:0, Sistema operativo:Windows 7:4:0, Pulgadas:12.5":5:0, Webcam:SÃ­:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Toshiba por;Portátiles,Portátiles I5 ;219; ; ; ; ; ; ; ;6920TOR302GB; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; (Intel Core I5 4200M 2.5Ghz/4GB/256SSD/13.3"/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia de Windows 7 Professional<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     Toshiba<br />· Procesador           Intel Core i5 4200M @ 2.50ghz <br />· Disco Duro            256 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias              4GB DDR3 (PC3L)<br />· Panel                    Pantalla de 13.3" <br />· Lector/Grabador    NO<br />· Webcam                SI<br />· Conexiones adicionales    x3 USB 3.0, x1 VGA, x1 Jack de Audio 4 Polos Microfono/Auriculares, x1 RJ45, Lector de Tarjetas SD, x1 Hdmi, <br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Las baterías incluidas han sido comprobadas de para una duracion de al menos 1 hora<br />- Teclado internacional<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920tor302gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Procesador:Intel DualCore Core2:2:0, Sistema operativo:Windows 7:3:0, Pulgadas:13.3":4:0, Webcam:SÃ­:5:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Toshiba por;Portátiles,Portátiles I5 ;195; ; ; ; ; ; ; ;6920TOR303GB; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; (Intel Core I5 4200M 2.5Ghz/8GB/256SSD/13.3"/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia de Windows 8 Professional<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     Toshiba<br />· Procesador           Intel Core i5 4200U @ 2.50ghz <br />· Disco Duro            256 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias              8GB DDR3 (PC3L)<br />· Panel                    Pantalla de 13.3" <br />· Lector/Grabador    NO<br />· Webcam                SI<br />· Conexiones adicionales    x3 USB 3.0, x1 VGA, x1 Jack de Audio 4 Polos Microfono/Auriculares, x1 RJ45, Lector de Tarjetas SD, x1 Hdmi, <br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen batería y cargador.<br />- Testeados y 100% verificados<br />- Las baterías incluidas han sido comprobadas para tener una duracion de al menos 1 hora<br />- Teclado en internacional; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920tor303gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel DualCore Core2:2:0, Sistema operativo:Windows 8:3:0, Pulgadas:13.3":4:0, Webcam:SÃ­:5:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Toshiba por;Portátiles,Portátiles I5 ;269; ; ; ; ; ; ; ;6920TOZ305A; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core I5 - 4300U  1.9Ghz/8GB/256GBSSD/13.3"/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br /><br />Estos equipos incluyen licencia de Windows 8 Professional<br /><br /><br />Especificaciones:<br /><br />· Marca     Toshiba<br />· Procesador     Intel Core i5 4300u @ 1.90ghz <br />· Disco Duro     256 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR3 (PC3L)<br />· Panel     Pantalla de 13.3" <br />· Lector/Grabador    Sin unidad optica.<br />· Webcam     SI<br />· Conexiones adicionales    x3 USB 3.0, x1 VGA, x1 Jack de Audio 4 Polos Microfono/Auriculares, x1 RJ45, Lector de Tarjetas SD, x1 Hdmi, <br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen batería y cargador.<br />- Testeados y 100% verificados<br />- Las baterías incluidas han sido comprobadas de tener una duracion de al menos 1 hora<br />- Teclado en ingles. (con kit pegatinas teclado incluido.); ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920toz305a_1.jpg; ; ;Memoria RAM:8GB:1:0, Disco Duro:256GB-SSD:2:0, Procesador:Intel DualCore Core2:3:0, Sistema operativo:Windows 8:4:0, Pulgadas:13.3":5:0, Webcam:SÃ­:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Dell Ultrab;Portátiles,Portátiles I5 ;159; ; ; ; ; ; ; ;6920DEE72401GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 4200U 1.6Ghz/8GB/240SSD-M.SATA/12.5"/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia Windows 7 PRO<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     DELL<br />· Procesador     Intel Core i5 4200U @ 1.6 Ghz<br />· Grafica interna: Gráficos HD Intel® 4400<br />· Disco Duro     240 SSD M-SATA (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR3 (PC3L) 2 ZOCALOS<br />· Panel     Pantalla de 12.5" <br />· Lector/Grabador    NO<br />· Webcam     SI<br />· Conexiones adicionales    x3 USB 3.0, x1 HDMI, xMini displayport x1 Jack de Audio Auricular, x1 RJ45, Lector de Tarjetas SD/MMC/MSPRO , 1x PCIe.<br /><br />- Incluyen Sistema Operativo Windows 10 PRO PREINSTALADO<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br /><br /><br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920dee72401gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 7:3:0, Pulgadas:12.5":4:0, Webcam:SÃ­:5:0, Idioma de teclado:Teclado personalizable:6:0, Tipo:Ultrabook:7:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Dell Ultrab;Portátiles,Portátiles I5 ;209; ; ; ; ; ; ; ;6920DEE72501GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 5200U 2.2Ghz/8GB/240SSD-M.SATA/12.5"/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia Windows 7 PRO<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     DELL<br />· Procesador     Intel Core i5 5200U @ 2.2 Ghz<br />· Grafica interna: Gráficos HD Intel® 4400<br />· Disco Duro     240 SSD M-SATA (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR3 (PC3L) 2 ZOCALOS<br />· Panel     Pantalla de 12.5" <br />· Lector/Grabador    NO<br />· Webcam     SI<br />· Conexiones adicionales    x3 USB 3.0, x1 HDMI, xMini displayport x1 Jack de Audio Auricular, x1 RJ45, Lector de Tarjetas SD/MMC/MSPRO , 1x PCIe.<br /><br />- Incluyen Sistema Operativo Windows 10 PRO PREINSTALADO<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br /><br /><br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920dee72501gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 8:3:0, Pulgadas:12.5":4:0, Webcam:SÃ­:5:0, Idioma de teclado:Teclado personalizable:6:0, Tipo:Ultrabook:7:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Hp EliteBoo;Portátiles,Portátiles I5 ;109; ; ; ; ; ; ; ;6920HP2570P1GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 3210M 2.50Ghz/4GB/320GB/12.1"/DVDRW/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia original de Windows 7 PRO<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca    HP<br />· Procesador     Intel i5 3210M @ 2.50 Ghz<br />· Gráficos integrados HD Intel 4000<br />· Disco Duro    320GB HDD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3<br />· Panel     Pantalla de 12,1"<br />· Lector/Grabador    Grabadora de DVD<br />· Webcam    (USB Externa)<br />· Conexiones adicionales    x2 USB 2.0, x1 eSata/USB x1 VGA, x1 Jack de Audio Auriculares, x1 RJ45, x1 RJ11, x1    Lector de Tarjetas SD, x1 Lector tarjetas SmartCard, x1 Displayport<br /><br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Sistema operativo Windows 10 PRO Preinstalado<br />- Teclado en castellano<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920hp2570p1gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:320GB:2:0, Procesador:Intel i5:3:0, Sistema operativo:Windows 7:4:0, Pulgadas:12.1":5:0, Webcam:SÃ­:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Hp EliteBoo;Portátiles,Portátiles I5 ;109; ; ; ; ; ; ; ;6920HP2570P5GB; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; (Intel Core i5 3210M 2.50Ghz/4GB/320GB/12.1"/DVDRW/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia original de Windows 8 PRO<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca    HP<br />· Procesador     Intel i5 3210M @ 2.50 Ghz<br />· Gráficos integrados HD Intel 4000<br />· Disco Duro    320GB HDD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3<br />· Panel     Pantalla de 12,1"<br />· Lector/Grabador    Grabadora de DVD<br />· Webcam    (USB Externa)<br />· Conexiones adicionales    x2 USB 2.0, x1 eSata/USB x1 VGA, x1 Jack de Audio Auriculares, x1 RJ45, x1 RJ11, x1    Lector de Tarjetas SD, x1 Lector tarjetas SmartCard, x1 Displayport<br /><br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Sistema operativo Windows 10 PRO Preinstalado<br />- Teclado en castellano<br />- Las baterías incluidas han sido comprobadas para tener una duracion de al menos 1 hora; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920hp2570p5gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:320GB:2:0, Procesador:Intel i5:3:0, Sistema operativo:Windows 8:4:0, Pulgadas:12.1":5:0, Webcam:SÃ­:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Ultrabook H;Portátiles,Portátiles I5 ;209; ; ; ; ; ; ; ;6920HP820G13GB; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; (Intel Core i5 4200u 1.6Ghz/8GB/120SSD/12"/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />GRADO B <br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 4200u (2 nucleos @ 1.6Ghz - 4 hilos)<br />· Disco Duro     120GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR3<br />· Panel     Pantalla de 12" HD<br />· Webcam   No<br />· Lector/Grabador    No disponible en ultrabooks<br />· Conexiones adicionales    x3 USB 2.0, x1 USB 3.0, x1 VGA, x1 Jack de Audio 4 polos, x1 RJ45, Lector de SmartCard (DNIe), x1 DisplayPort<br />· Otras conexiones     x1 M.2<br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Teclado no español. NO Incluye kit de pegatinas en español.<br />- Testeados y 100% verificados<br />- Las baterías incluidas han sido comprobadas de tener una duracion de al menos 1 hora.<br />- Cargador incluido; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920hp820g13gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 8:3:0, Webcam:SÃ­:4:0, Idioma de teclado:Teclado personalizable:5:0, Tipo:Ultrabook:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Dell Latitu;Portátiles,Portátiles I5 ;189; ; ; ; ; ; ; ;6920DE745016GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 5300U 2.30Ghz/4GB/120SSD/14"/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales. <br /><br />Estos equipos incluyen Licencia Windows 8 Professional<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca                                DELL<br />· Procesador                        Intel Core i5 5300U (2 nucleos 4 Hilos @ 2.30Ghz )<br />· Grafica                               Gráficos HD Intel 520<br />· Disco Duro                         120 GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias                           4GB DDR3L (2 ZOCALOS)<br />· Panel                                 Pantalla de 14"  <br />· Lector/Grabador                NO<br />· Webcam                            SI<br />· Conexiones adicionales    x3 USB 3.0, x1 HDMI, x1 VGA, x1 Jack de Audio  Microfono/Auriculares, x1 RJ45,x1 Lector de tarjeta SD.<br /><br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen batería, cables y cargador.<br />- Testeados y 100% verificados<br />- Las baterías incluidas han sido comprobadas para tener una duracion de al menos 1 hora<br />- Teclado internacional, kit de pegatinas en castellano; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920de745016gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 8:3:0, Pulgadas:14":4:0, Webcam:SÃ­:5:0, Idioma de teclado:Teclado personalizable:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Dell Latitu;Portátiles,Portátiles I5 ;225; ; ; ; ; ; ; ;6920DEE54201AGB; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; (Intel Core i5 2520M 2.5Ghz/4GB/320GB/14"/DVDRW/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia original de Windows 7 PRO, con Preinstalación de Windows 10<br /><br /><br />Especificaciones:<br /><br />· Marca     Dell<br />· Procesador     Intel Core i5 2520M (2 Nucleos 4 Hilos @ 2.5Ghz)<br />· Disco Duro     320GB SATA HDD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3<br />· Panel     Pantalla de 14"<br />· Lector/Grabador    Grabadora de DVD<br />· Webcam     no<br />· Conexiones adicionales    x3 USB 2.0, x1 e-SATA, x1 HDMI, x1 VGA, x1 Jack de Audio de 4 polos Microfono/Auriculares, x1 RJ45, x1 RJ11, Lector de Tarjetas SD, Lector Express Card 54mm<br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado.<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Las baterías incluidas han sido comprobadas de tener una duracion de al menos 1 hora<br />- Teclado internacional, kit de pegatinas en castellano.; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920dee54201agb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:320GB:2:0, Procesador:Intel i5:3:0, Sistema operativo:Windows 7:4:0, Pulgadas:14":5:0, Webcam:SÃ­:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portátil Dell Ultrab;Portátiles,Portátiles I5 ;235; ; ; ; ; ; ; ;6920DEE74407GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 4300U 1.9Ghz/4GB/120SSD/14"/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia Windows 8 PRO<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     DELL<br />· Procesador     Intel Core i5 4300U (2 Nucleos 4 Hilos @ 1.9 Ghz)<br />· Grafica interna: Gráficos HD Intel 4400<br />· Disco Duro     120 SSD SATA HDD (Varias marcas, segun disponibilidad)<br />· Memorias     4GB DDR3 (PC3L) 2 ZOCALOS<br />· Panel     Pantalla de 14" <br />· Lector/Grabador    NO<br />· Webcam     SI<br />· Conexiones adicionales    x3 USB 3.0, x1 HDMI, xMini displayport x1 Jack de Audio Auricular, x1 RJ45, Lector de Tarjetas SD/MMC/MSPRO , x1 Smart Card, 1x PCIe.<br /><br />- Incluyen Sistema Operativo Windows 10 PRO PREINSTALADO<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Teclado en ingles, kit de pegatinas en castellano<br /><br /><br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920dee74407gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 8:3:0, Pulgadas:14":4:0, Webcam:SÃ­:5:0, Idioma de teclado:Teclado personalizable:6:0, Tipo:Ultrabook:7:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portatil Fujitsu Lif;Portátiles,Portátiles I5 ;199; ; ; ; ; ; ; ;6920FSLA5733GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 3320m 2.3.Ghz/4GB/320GB/15.6"/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia Windows 7 Pro<br /><br />GRADO B <br /><br />Especificaciones:<br /><br />· Marca                                    Fujitsu<br />· Procesador                            Intel Core i5 3320M @ 2.3 Ghz (2 Nucleos, 4 Hilos)<br />· Grafica:                                 Gráficos HD Intel® 4000<br />· Disco Duro                            320GB HDD (Varias marcas, segun disponibilidad)<br />· Memorias                              4GB DDR3 (PC3)<br />· Panel                                    Pantalla de 15.6"<br />· Lector                                   SI<br />· Webcam                               Externa por USB (webcam HD)<br />· Conexiones adicionales       x2 USB 3.0, x2 USB 2.0, x1 VGA, x1 HDMI, x2 Jack de Audio  Microfono/Auriculares, x1 RJ45<br /><br />- Incluyen Sistema Operativo Windows 10 PRO<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Teclado Castellano numerico; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920fsla5733gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:320GB:2:0, Procesador:Intel i5:3:0, Sistema operativo:Windows 7:4:0, Pulgadas:15.6":5:0, Marca:Fujitsu:6:0, Webcam:SÃ­:7:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portatil Fujitsu Lif;Portátiles,Portátiles I5 ;129; ; ; ; ; ; ; ;6920FSLA5736GB; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; (Intel Core i5 3320m 2.3.Ghz/4GB/320GB/15.6"/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia Windows 7 Pro<br /><br />GRADO B <br /><br />Especificaciones:<br /><br />· Marca                                    Fujitsu<br />· Procesador                            Intel Core i5 3320M @ 2.3 Ghz (2 Nucleos, 4 Hilos)<br />· Grafica:                                 Gráficos HD Intel® 4000<br />· Disco Duro                            320GB HDD (Varias marcas, segun disponibilidad)<br />· Memorias                              4GB DDR3 (PC3)<br />· Panel                                    Pantalla de 15.6"<br />· Lector                                   SI<br />· Wifi                                       Externo, por puerto USB<br />. Webcam                               Externa por USB (webcam HD)<br />· Conexiones adicionales       x2 USB 3.0, x2 USB 2.0, x1 VGA, x1 HDMI, x2 Jack de Audio  Microfono/Auriculares, x1 RJ45<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Teclado Castellano; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920fsla5736gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:320GB:2:0, Procesador:Intel i5:3:0, Sistema operativo:Windows 7:4:0, Pulgadas:15.6":5:0, Marca:Fujitsu:6:0, Webcam:SÃ­:7:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Portatil Fujitsu Lif;Portátiles,Portátiles I5 ;209; ; ; ; ; ; ; ;6920FSLA7437GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 3320m 2.3.Ghz/4GB/128SSD/15.6"/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, o pantalla, pero son completamente funcionales.<br /><br />Estos equipos incluyen licencia Windows 7 Pro<br /><br />GRADO B <br /><br />Especificaciones:<br /><br />· Marca                                    Fujitsu<br />· Procesador                            Intel Core i5 3320M @ 2.3 Ghz (2 Nucleos, 4 Hilos)<br />· Grafica:                                 Gráficos HD Intel® 4000<br />· Disco Duro                            128GB SSD (Varias marcas, segun disponibilidad)<br />· Memorias                              4GB DDR3 (PC3)<br />· Panel                                    Pantalla de 15.6"<br />· Lector                                   SI<br />· Webcam                               Externa por USB (Webcam HD)<br />· Conexiones adicionales       x2 USB 3.0, x2 USB 2.0, x1 VGA, x1 HDMI, x2 Jack de Audio  Microfono/Auriculares, x1 RJ45<br /><br />- Incluyen Sistema Operativo Windows 10 PRO<br />- Incluyen batería y cargador<br />- Testeados y 100% verificados<br />- Teclado castellano numérico; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6920fsla7437gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 7:3:0, Pulgadas:15.6":4:0, Marca:Fujitsu:5:0, Webcam:SÃ­:6:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
